ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;We Are Van Peebles;;TournÈe des Trans;16/11/2012;La Citrouille;Saint-Brieuc;TournÈe des Trans;17/11/2012;La Carène;Brest;;23/11/2012;L'Echonova;Saint-AvÈ;;07/12/2012;L'Etage;Rennes;;;;;France;;;;Rennes;;;;2010;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Zam Rock;;;08/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;Zambie;Allemagne;;;;;;;;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Zammuto;;;08/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;Etats-Unis;;;;;;;;2011;2000;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Zeds Dead;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Canada;;;;Toronto;;;;2009;2010;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;50 Miles From Vancouver;;KalÈidoscope;12/11/2011;Centre Culturel de l'Ecusson;Josselin;TournÈe des Trans;26/11/2011;Le Normandy;Saint-Lô;;03/12/2011;Ubu;Rennes;;;;;;;;;France;;;;Brest;;;;2009;2011;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Agoria;;;03/12/2011;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;Lyon;;;;1999;1999;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Alexander Tucker;;;02/12/2011;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2000;2003;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Baadman;;;03/12/2011;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Caen;;;;2009;2011;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Backpack Jax;;;17/11/2011;Ubu;Rennes;;03/12/2011;La CitÈ;Rennes;;;;;;;;;;;;;France;;;;Nantes;;;;2009;2011;;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Black Ham;;;02/12/2011;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2005;2006;;;;;;
